season,title,rating,votes,double,episode,votes_norm,month,writer_B.J._Novak,writer_Mindy_Kaling,writer_Gene_Stupnitsky,writer_Justin_Spitzer,writer_Brent_Forrester,writer_Jennifer_Celotta,writer_Michael_Schur,writer_Warren_Lieberstein,writer_Halsted_Sullivan,writer_Aaron_Shure,writer_Daniel_Chun,writer_Robert_Padnick,writer_Owen_Ellickson,writer_Carrie_Kemper,writer_Allison_Silverman,writer_Steve_Hely,writer_Lester_Lewis,writer_Steve_Carell,writer_Dan_Greaney,writer_Jonathan_Green,writer_Gabe_Miller,writer_Anthony_Q._Farrell,writer_Graham_Wagner,writer_Dan_Sterling,writer_Amelie_Gillette,writer_Nicki_Schwartz-Wright,writer_Jon_Vitti,writer_Paul_Lieberstein,writer_Ryan_Koh,writer_Tim_McAuliffe,writer_Greg_Daniels,writer_Ricky_Gervais,writer_Stephen_Merchant,writer_Lee_Eisenberg,writer_Caroline_Williams,writer_Jason_Kessler,writer_Peter_Ocko,writer_Charlie_Grandy,writer_Larry_Willmore,writer_Jonathan_Huges,director_Randall_Einhorn,director_Greg_Daniels,director_Paul_Feig,director_Ken_Kwapis,director_Jeffrey_Blitz,director_Ken_Whittingham,director_David_Rogers,director_Matt_Sohn,director_Charles_McDougall,director_Paul_Lieberstein,director_B.J._Novak,director_Brent_Forrester,director_Tucker_Gates,director_Troy_Miller,director_Harold_Ramis,director_Rainn_Wilson,director_John_Krasinski,director_Steve_Carell,director_Jennifer_Celotta,director_Mindy_Kaling,director_Ed_Helms,director_Julian_Farino,director_Lee_Eisenberg,director_Gene_Stupnitsky,director_Victor_Nelli_Jr.,director_Joss_Whedon,director_Claire_Scanlon,director_Dean_Holland,director_Rodman_Flender,director_Dennie_Gordon,director_Jason_Reitman,director_Bryan_Gordon,director_Charlie_Grandy,director_Miguel_Arteta,director_Jesse_Peretz,director_Daniel_Chun,director_Eric_Appel,director_Marc_Webb,director_Roger_Nygard,director_Lee_Kirk,director_Amy_Heckerling,director_John_Scott,director_Seth_Gordon,director_Stephen_Merchant,director_Bryan_Cranston,director_Reginald_Hudlin,director_Craig_Zisk,director_Brian_Baumgartner,director_J.J._Abrams,director_Alex_Hardcastle,director_Kelly_Cantley-Kashima,director_Michael_Spiller,director_Danny_Leiner,director_Asaad_Kelada,director_Jon_Favreau,words,Michael_words,Michael_words_total,Dwight_words,Dwight_words_total,Jim_words,Jim_words_total,Pam_words,Pam_words_total,Andy_words,Andy_words_total,Angela_words,Angela_words_total,Kevin_words,Kevin_words_total,Erin_words,Erin_words_total,Oscar_words,Oscar_words_total,Ryan_words,Ryan_words_total,Darryl_words,Darryl_words_total,Phyllis_words,Phyllis_words_total,Kelly_words,Kelly_words_total,Toby_words,Toby_words_total,Jan_words,Jan_words_total,Stanley_words,Stanley_words_total,Meredith_words,Meredith_words_total,Holly_words,Holly_words_total,Nellie_words,Nellie_words_total,Gabe_words,Gabe_words_total,Robert_words,Robert_words_total,Creed_words,Creed_words_total,David_words,David_words_total,Karen_words,Karen_words_total,Clark_words,Clark_words_total,Charles_words,Charles_words_total,Roy_words,Roy_words_total,Pete_words,Pete_words_total,Jo_words,Jo_words_total,Deangelo_words,Deangelo_words_total,Jim_about_Pam,Jim_about_Dwight,Pam_about_Jim,Pam_about_Michael,Michael_about_Jan,Michael_about_Holly,Dwight_Michael_dialog,Jim_Michael_dialog,Michael_Pam_dialog,Andy_Michael_dialog,Angela_Michael_dialog,Kevin_Michael_dialog,Erin_Michael_dialog,Michael_Oscar_dialog,Michael_Ryan_dialog,Darryl_Michael_dialog,Michael_Phyllis_dialog,Kelly_Michael_dialog,Michael_Toby_dialog,Jan_Michael_dialog,Michael_Stanley_dialog,Meredith_Michael_dialog,Holly_Michael_dialog,Gabe_Michael_dialog,Dwight_Jim_dialog,Dwight_Pam_dialog,Andy_Dwight_dialog,Angela_Dwight_dialog,Dwight_Kevin_dialog,Dwight_Erin_dialog,Dwight_Oscar_dialog,Dwight_Ryan_dialog,Darryl_Dwight_dialog,Dwight_Phyllis_dialog,Dwight_Kelly_dialog,Dwight_Toby_dialog,Dwight_Jan_dialog,Dwight_Stanley_dialog,Dwight_Meredith_dialog,Dwight_Nellie_dialog,Dwight_Gabe_dialog,Jim_Pam_dialog,Andy_Jim_dialog,Angela_Jim_dialog,Jim_Kevin_dialog,Erin_Jim_dialog,Jim_Oscar_dialog,Jim_Ryan_dialog,Darryl_Jim_dialog,Jim_Phyllis_dialog,Jim_Kelly_dialog,Jim_Toby_dialog,Jan_Jim_dialog,Jim_Stanley_dialog,Jim_Meredith_dialog,Jim_Nellie_dialog,Gabe_Jim_dialog,Andy_Pam_dialog,Angela_Pam_dialog,Kevin_Pam_dialog,Erin_Pam_dialog,Oscar_Pam_dialog,Pam_Ryan_dialog,Darryl_Pam_dialog,Pam_Phyllis_dialog,Kelly_Pam_dialog,Pam_Toby_dialog,Jan_Pam_dialog,Meredith_Pam_dialog,Nellie_Pam_dialog,Gabe_Pam_dialog,Andy_Angela_dialog,Andy_Kevin_dialog,Andy_Erin_dialog,Andy_Oscar_dialog,Andy_Ryan_dialog,Andy_Darryl_dialog,Andy_Phyllis_dialog,Andy_Kelly_dialog,Andy_Toby_dialog,Andy_Jan_dialog,Andy_Stanley_dialog,Andy_Meredith_dialog,Andy_Nellie_dialog,Andy_Gabe_dialog,Angela_Kevin_dialog,Angela_Erin_dialog,Angela_Oscar_dialog,Angela_Phyllis_dialog,Angela_Kelly_dialog,Angela_Jan_dialog,Angela_Meredith_dialog,Erin_Kevin_dialog,Kevin_Oscar_dialog,Kevin_Ryan_dialog,Darryl_Kevin_dialog,Kevin_Phyllis_dialog,Kelly_Kevin_dialog,Kevin_Toby_dialog,Jan_Kevin_dialog,Holly_Kevin_dialog,Kevin_Nellie_dialog,Gabe_Kevin_dialog,Erin_Oscar_dialog,Erin_Ryan_dialog,Darryl_Erin_dialog,Erin_Phyllis_dialog,Erin_Kelly_dialog,Erin_Stanley_dialog,Erin_Meredith_dialog,Erin_Nellie_dialog,Erin_Gabe_dialog,Oscar_Ryan_dialog,Darryl_Oscar_dialog,Oscar_Phyllis_dialog,Kelly_Oscar_dialog,Oscar_Toby_dialog,Oscar_Stanley_dialog,Kelly_Ryan_dialog,Ryan_Toby_dialog,Ryan_Stanley_dialog,Nellie_Ryan_dialog,Darryl_Kelly_dialog,Darryl_Toby_dialog,Darryl_Nellie_dialog,Darryl_Gabe_dialog,Kelly_Phyllis_dialog,Phyllis_Stanley_dialog,Holly_Phyllis_dialog,Nellie_Phyllis_dialog,Kelly_Toby_dialog,Jan_Kelly_dialog,Kelly_Stanley_dialog,Kelly_Meredith_dialog,Gabe_Kelly_dialog,Meredith_Toby_dialog,Nellie_Toby_dialog,Gabe_Toby_dialog,Holly_Jan_dialog,Holly_Meredith_dialog,dialog_mean_length,number_of_dialog,stamford,scranton,dunder,stupid,sales,news,pregnancy,bitch,promotion,leaving,hate,love,money,paper,meeting,office,date,death,wedding,party,christmas,halloween,dundies,birthday,valentine,what_she_said,laughing,whispering,screaming,singing,applause,accent,crying,smiling,sigh,kiss,one
1,Pilot,7.4,7006,0,1,0.009148101044340738,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,55.37280701754386,1515.0,10.23391812865497,280.0,11.513157894736842,315.0,10.635964912280702,291.0,0.0,0.0,0.43859649122807015,12.0,0.14619883040935672,4.0,0.0,0.0,0.8406432748538012,23.0,1.9736842105263157,54.0,0.0,0.0,0.25584795321637427,7.0,0.0,0.0,0.0,0.0,5.043859649122807,138.0,1.206140350877193,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206140350877193,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31746031746031744,0.6349206349206349,0.0,0.0,0.264026402640264,0.0,27,11,41,0,0,0,0,0,8,0,0,0,0,22,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.866666666666666,45.0,0.10964912280701754,0.03654970760233918,0.14619883040935672,0.0,0.0,0.0,0.0,0.07309941520467836,0.0,0.0,0.03654970760233918,0.03654970760233918,0.0,0.07309941520467836,0.10964912280701754,0.10964912280701754,0.0,0.0,0.03654970760233918,0.03654970760233918,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,0,0,1,0,1,0,1
1,Diversity Day,8.3,6902,0,2,0.009012302798749611,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,55.5635838150289,1538.0,5.744219653179191,159.0,11.380057803468208,315.0,2.348265895953757,65.0,0.0,0.0,0.14450867052023122,4.0,2.709537572254335,75.0,0.0,0.0,2.5289017341040463,70.0,1.1560693641618498,32.0,0.0,0.0,0.0,0.0,0.39739884393063585,11.0,0.5780346820809249,16.0,0.0,0.0,0.8309248554913294,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31746031746031744,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,27,0,0,0,4,7,0,4,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.448275862068965,29.0,0.0,0.036127167630057806,0.036127167630057806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036127167630057806,0.14450867052023122,0.0,0.10838150289017341,0.07225433526011561,0.036127167630057806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,3,1,0,0,0,1
1,Health Care,7.7,5756,0,3,0.007515910592524306,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751,38.785896037804434,1067.0,27.33551435841512,752.0,11.922937113776808,328.0,7.633587786259542,210.0,0.0,0.0,0.945110868774991,26.0,1.2359142130134497,34.0,0.0,0.0,1.7448200654307524,48.0,0.3998545983278808,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125408942202835,141.0,1.5267175572519085,42.0,1.272264631043257,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048780487804878,0.6097560975609756,0.9523809523809523,0.47619047619047616,0.18744142455482662,0.0,23,7,24,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,40,4,0,0,4,0,0,0,0,0,0,0,17,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.388888888888889,54.0,0.0,0.03635041802980734,0.03635041802980734,0.0,0.07270083605961468,0.10905125408942203,0.0,0.0,0.0,0.0,0.0,0.1817520901490367,0.14540167211922936,0.0,0.0,0.3998545983278808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,0,0,0,0,0,1
1,The Alliance,8.0,5579,0,4,0.0072847924245471,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,43.20987654320987,1260.0,17.52400548696845,511.0,19.993141289437585,583.0,7.750342935528121,226.0,0.0,0.0,1.2002743484224965,35.0,0.205761316872428,6.0,0.0,0.0,3.2578875171467763,95.0,0.411522633744856,12.0,0.0,0.0,1.4060356652949246,41.0,0.0,0.0,0.48010973936899864,14.0,0.0,0.0,0.30864197530864196,9.0,2.674897119341564,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9602194787379973,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145797598627787,0.8576329331046312,0.4424778761061947,0.0,0.0,0.0,26,5,12,0,0,0,0,29,0,0,0,0,0,0,0,18,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.463414634146342,41.0,0.03429355281207133,0.0,0.03429355281207133,0.06858710562414266,0.03429355281207133,0.03429355281207133,0.0,0.03429355281207133,0.0,0.0,0.03429355281207133,0.13717421124828533,0.102880658436214,0.06858710562414266,0.03429355281207133,0.17146776406035666,0.0,0.0,0.0,0.17146776406035666,0.0,0.0,0.03429355281207133,0.5486968449931413,0.0,0.0,6,2,1,1,0,0,0,0,0,1,1
1,Basketball,8.4,6183,0,5,0.0080734668508648,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,65.6456953642384,1586.0,4.966887417218543,120.0,8.69205298013245,210.0,5.546357615894039,134.0,0.0,0.0,1.0347682119205297,25.0,0.2897350993377483,7.0,0.0,0.0,0.6622516556291391,16.0,1.4072847682119205,34.0,3.9321192052980134,95.0,1.1175496688741722,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139072847682119,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7731788079470197,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,43,4,4,0,0,0,0,0,8,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6458333333333335,48.0,0.0,0.0,0.08278145695364239,0.0,0.041390728476821195,0.0,0.0,0.041390728476821195,0.0,0.0,0.041390728476821195,0.0,0.0,0.0,0.0,0.041390728476821195,0.0,0.0,0.041390728476821195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,2,0,0,0,0,0,1
1,Hot Girl,7.7,5495,0,6,0.007175109226185036,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995,47.51252086811352,1423.0,8.180300500834724,245.0,16.76126878130217,502.0,6.777963272120201,203.0,0.0,0.0,0.6010016694490818,18.0,0.7345575959933222,22.0,0.0,0.0,0.1335559265442404,4.0,1.7028380634390652,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343906510851419,19.0,2.370617696160267,71.0,0.7345575959933222,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.005008347245409,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398406374501992,0.5976095617529881,0.49261083743842365,0.49261083743842365,0.0,0.0,17,0,9,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,69.0,0.0,0.0,0.0333889816360601,0.0667779632721202,0.0667779632721202,0.0,0.0,0.0,0.0,0.0,0.0,0.1335559265442404,0.0,0.0333889816360601,0.0333889816360601,0.2671118530884808,0.1335559265442404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0,0,0,0,0,0,0,0,1
2,The Dundies,8.7,6184,0,1,0.008074772603226253,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2786,52.727925340990666,1469.0,10.624551328068916,296.0,7.82483847810481,218.0,12.275664034458003,342.0,0.0,0.0,0.03589375448671931,1.0,0.2871500358937545,8.0,0.0,0.0,1.615218951902369,45.0,0.9691313711414213,27.0,0.21536252692031588,6.0,1.6511127063890882,46.0,1.3280689160086145,37.0,0.0,0.0,3.62526920315865,101.0,3.0509691313711413,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0050251256281406,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45871559633027525,0.0,0.5847953216374269,0.34036759700476515,0.0,22,9,18,0,0,0,0,0,0,0,5,11,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5737704918032787,61.0,0.0,0.03589375448671931,0.10768126346015794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03589375448671931,0.0,0.10768126346015794,0.0,0.03589375448671931,0.17946877243359655,0.03589375448671931,0.0,0.0,0.21536252692031588,0.0,0.0,0.8614501076812635,0.03589375448671931,0.0,0.0,5,1,1,3,6,1,0,0,0,0,1
2,Sexual Harassment,8.2,5299,0,2,0.006919181763340219,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,50.47933884297521,1527.0,2.4132231404958677,73.0,5.3884297520661155,163.0,7.735537190082645,234.0,0.0,0.0,0.7933884297520661,24.0,0.8264462809917356,25.0,0.0,0.0,0.0,0.0,0.19834710743801653,6.0,3.5702479338842976,108.0,1.1900826446280992,36.0,0.0,0.0,8.330578512396695,252.0,2.975206611570248,90.0,0.5619834710743802,17.0,0.1652892561983471,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.347107438016529,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134969325153374,0.0,0.0,0.42735042735042733,0.0,0.0,5,4,0,0,4,7,0,0,0,0,0,0,36,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0227272727272725,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06611570247933884,0.0,0.0,0.03305785123966942,0.1322314049586777,0.03305785123966942,0.0,0.0,0.1322314049586777,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.03305785123966942,0.0,0.09917355371900827,2,1,0,1,0,0,0,0,0,2,1
2,Office Olympics,8.3,5249,0,3,0.006853894145267562,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,39.21339563862929,1007.0,20.75545171339564,533.0,16.861370716510905,433.0,7.904984423676012,203.0,0.0,0.0,2.2585669781931466,58.0,1.5186915887850467,39.0,0.0,0.0,1.4408099688473521,37.0,3.5046728971962615,90.0,0.0,0.0,0.35046728971962615,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0514018691588785,27.0,0.03894080996884735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618937644341801,0.23094688221709006,0.0,0.9852216748768473,0.0,0.0,85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.172413793103448,58.0,0.0,0.0,0.03894080996884735,0.03894080996884735,0.03894080996884735,0.0,0.0,0.0,0.0,0.0,0.03894080996884735,0.11682242990654206,0.03894080996884735,0.19470404984423675,0.0,0.11682242990654206,0.0,0.0,0.0,0.03894080996884735,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,3,0,0,0,0,0,1
2,The Fire,8.3,5183,0,4,0.006767714489411654,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,33.89212827988338,930.0,21.865889212827987,600.0,16.107871720116616,442.0,6.596209912536443,181.0,0.0,0.0,2.587463556851312,71.0,0.9110787172011662,25.0,0.0,0.0,0.619533527696793,17.0,9.001457725947521,247.0,0.0,0.0,0.7653061224489796,21.0,0.4737609329446064,13.0,0.0,0.0,0.0,0.0,1.0204081632653061,28.0,1.0204081632653061,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1137026239067054,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787330316742083,1.1312217194570138,0.5524861878453039,0.0,0.0,0.0,21,0,0,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2023809523809526,84.0,0.0,0.03644314868804665,0.03644314868804665,0.03644314868804665,0.0,0.0,0.0,0.0,0.0,0.03644314868804665,0.0,0.10932944606413994,0.03644314868804665,0.03644314868804665,0.03644314868804665,0.0728862973760933,0.0,0.0,0.03644314868804665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6,0,0,0,0,0,0,1
